No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
83,Theater/Cinema,"theater, cinema",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Dark + Spotlight accents + Gold,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
84,Language Learning App,"language, learning, app",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,Playful colors + Progress indicators + Country flags,"{ primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', background: '#F0FDFA', foreground: '#134E4A' }","box-shadow: 0 0 20px rgba(234,88,12,0.4); text-shadow: 0 0 10px rgba(234,88,12,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0D9488', secondary: '#2DD4BF', cta: '#EA580C', border: '#27272A' }","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#31c9bf"",""accent"":""#EA580C"",""destructive"":""#EF4444""}","[""#1cebd9"",""#11c3b3"",""#0D9488"",""#09655d"",""#053632"",""#2dd4bf"",""#23ab9a""]","{""background"":""#F0FDFA"",""foreground"":""#134E4A"",""card"":""#FFFFFF"",""card-foreground"":""#134E4A"",""popover"":""#FFFFFF"",""popover-foreground"":""#134E4A"",""primary"":""#0D9488"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2DD4BF"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#EA580C"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#5EEAD4"",""input"":""#5EEAD4"",""ring"":""#0D9488""}"
85,Coding Bootcamp,"coding, bootcamp",#3B82F6,#60A5FA,#F97316,#F8FAFC,#1E293B,#E2E8F0,Code editor colors + Brand + Success green,"{ primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', background: '#F8FAFC', foreground: '#1E293B' }","box-shadow: 0 0 20px rgba(249,115,22,0.4); text-shadow: 0 0 10px rgba(249,115,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#3B82F6', secondary: '#60A5FA', cta: '#F97316', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#526fa0"",""accent"":""#F97316"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#60a5fa"",""#2f89f8""]","{""background"":""#F8FAFC"",""foreground"":""#1E293B"",""card"":""#FFFFFF"",""card-foreground"":""#1E293B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E293B"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#60A5FA"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#F97316"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#3B82F6""}"
86,Cybersecurity Platform,"cybersecurity, security, cyber, hacker",#00FF41,#0D0D0D,#00FF41,#000000,#E0E0E0,#1F1F1F,Matrix Green + Deep Black + Terminal feel,"{ primary: '#00FF41', secondary: '#0D0D0D', cta: '#00FF41', background: '#000000', foreground: '#E0E0E0' }","box-shadow: 0 0 20px rgba(0,255,65,0.4); text-shadow: 0 0 10px rgba(0,255,65,0.6);","{ background: '#000000', text: '#E0E0E0', primary: '#00FF41', secondary: '#0D0D0D', cta: '#00FF41', border: '#1F1F1F' }","{""background"":""#000000"",""foreground"":""#E0E0E0"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#0D0D0D"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#00FF41"",""destructive"":""#EF4444""}","[""#66ff8d"",""#33ff67"",""#00FF41"",""#00cc34"",""#009927"",""#0d0d0d"",""#000000""]","{""background"":""#000000"",""foreground"":""#E0E0E0"",""card"":""#0C0C0C"",""card-foreground"":""#E0E0E0"",""popover"":""#0C0C0C"",""popover-foreground"":""#E0E0E0"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#0D0D0D"",""secondary-foreground"":""#FFFFFF"",""muted"":""#191919"",""muted-foreground"":""#A1A1AA"",""accent"":""#00FF41"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1F1F1F"",""input"":""#262626"",""ring"":""#00FF41""}"
87,Developer Tool / IDE,"developer, tool, ide, code, dev",#3B82F6,#1E293B,#2563EB,#0F172A,#F1F5F9,#334155,Dark syntax theme colors + Blue focus,"{ primary: '#3B82F6', secondary: '#1E293B', cta: '#2563EB', background: '#0F172A', foreground: '#F1F5F9' }","box-shadow: 0 0 20px rgba(37,99,235,0.4); text-shadow: 0 0 10px rgba(37,99,235,0.6);","{ background: '#0F172A', text: '#F1F5F9', primary: '#3B82F6', secondary: '#1E293B', cta: '#2563EB', border: '#334155' }","{""background"":""#0F172A"",""foreground"":""#F1F5F9"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E293B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#2563EB"",""destructive"":""#EF4444""}","[""#9dc0fa"",""#6ca1f8"",""#3B82F6"",""#0b63f3"",""#094fc2"",""#1e293b"",""#0d1219""]","{""background"":""#0F172A"",""foreground"":""#F1F5F9"",""card"":""#1B2234"",""card-foreground"":""#F1F5F9"",""popover"":""#1B2234"",""popover-foreground"":""#F1F5F9"",""primary"":""#3B82F6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E293B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#272E3F"",""muted-foreground"":""#A1A1AA"",""accent"":""#2563EB"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#334155"",""input"":""#333949"",""ring"":""#3B82F6""}"
88,Biotech / Life Sciences,"biotech, science, biology, medical",#0EA5E9,#0284C7,#10B981,#F8FAFC,#0F172A,#E2E8F0,Sterile White + DNA Blue + Life Green,"{ primary: '#0EA5E9', secondary: '#0284C7', cta: '#10B981', background: '#F8FAFC', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(16,185,129,0.4); text-shadow: 0 0 10px rgba(16,185,129,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0EA5E9', secondary: '#0284C7', cta: '#10B981', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""primary"":""#0EA5E9"",""primary-foreground"":""#FFFFFF"",""secondary"":""#0284C7"",""secondary-foreground"":""#FFFFFF"",""muted"":""#37559b"",""accent"":""#10B981"",""destructive"":""#EF4444""}","[""#67caf6"",""#37b9f3"",""#0EA5E9"",""#0b83b9"",""#086189"",""#0284c7"",""#016294""]","{""background"":""#F8FAFC"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#0EA5E9"",""primary-foreground"":""#000000"",""secondary"":""#0284C7"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#10B981"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0EA5E9""}"
89,Space Tech / Aerospace,"space, aerospace, tech, futuristic",#FFFFFF,#94A3B8,#3B82F6,#0B0B10,#F8FAFC,#1E293B,Deep Space Black + Star White + Metallic,"{ primary: '#FFFFFF', secondary: '#94A3B8', cta: '#3B82F6', background: '#0B0B10', foreground: '#F8FAFC' }","box-shadow: 0 0 20px rgba(59,130,246,0.4); text-shadow: 0 0 10px rgba(59,130,246,0.6);","{ background: '#0B0B10', text: '#F8FAFC', primary: '#FFFFFF', secondary: '#94A3B8', cta: '#3B82F6', border: '#1E293B' }","{""background"":""#0B0B10"",""foreground"":""#F8FAFC"",""primary"":""#FFFFFF"",""primary-foreground"":""#000000"",""secondary"":""#94A3B8"",""secondary-foreground"":""#000000"",""muted"":""#ffffff"",""accent"":""#3B82F6"",""destructive"":""#EF4444""}","[""#ffffff"",""#ffffff"",""#FFFFFF"",""#e6e6e6"",""#cccccc"",""#94a3b8"",""#7589a4""]","{""background"":""#0B0B10"",""foreground"":""#F8FAFC"",""card"":""#17171B"",""card-foreground"":""#F8FAFC"",""popover"":""#17171B"",""popover-foreground"":""#F8FAFC"",""primary"":""#FFFFFF"",""primary-foreground"":""#000000"",""secondary"":""#94A3B8"",""secondary-foreground"":""#000000"",""muted"":""#232327"",""muted-foreground"":""#A1A1AA"",""accent"":""#3B82F6"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#1E293B"",""input"":""#2F2F33"",""ring"":""#FFFFFF""}"
90,Architecture / Interior,"architecture, interior, design, luxury",#171717,#404040,#D4AF37,#FFFFFF,#171717,#E5E5E5,Monochrome + Gold Accent + High Imagery,"{ primary: '#171717', secondary: '#404040', cta: '#D4AF37', background: '#FFFFFF', foreground: '#171717' }","box-shadow: 0 0 20px rgba(212,175,55,0.4); text-shadow: 0 0 10px rgba(212,175,55,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#202020', secondary: '#535353', cta: '#D4AF37', border: '#27272A' }","{""background"":""#FFFFFF"",""foreground"":""#171717"",""primary"":""#171717"",""primary-foreground"":""#FFFFFF"",""secondary"":""#404040"",""secondary-foreground"":""#FFFFFF"",""muted"":""#636363"",""accent"":""#D4AF37"",""destructive"":""#EF4444""}","[""#4a4a4a"",""#303030"",""#171717"",""#000000"",""#000000"",""#404040"",""#262626""]","{""background"":""#FFFFFF"",""foreground"":""#171717"",""card"":""#FFFFFF"",""card-foreground"":""#171717"",""popover"":""#FFFFFF"",""popover-foreground"":""#171717"",""primary"":""#171717"",""primary-foreground"":""#FFFFFF"",""secondary"":""#404040"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#D4AF37"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#171717""}"
91,Quantum Computing,"quantum, qubit, tech",#00FFFF,#7B61FF,#FF00FF,#050510,#E0E0FF,#333344,Interference patterns + Neon + Deep Dark,"{ primary: '#00FFFF', secondary: '#7B61FF', cta: '#FF00FF', background: '#050510', foreground: '#E0E0FF' }","box-shadow: 0 0 20px rgba(255,0,255,0.4); text-shadow: 0 0 10px rgba(255,0,255,0.6);","{ background: '#050510', text: '#E0E0FF', primary: '#00FFFF', secondary: '#7B61FF', cta: '#FF00FF', border: '#333344' }","{""background"":""#050510"",""foreground"":""#E0E0FF"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#7B61FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#FF00FF"",""destructive"":""#EF4444""}","[""#66ffff"",""#33ffff"",""#00FFFF"",""#00cccc"",""#009999"",""#7b61ff"",""#502eff""]","{""background"":""#050510"",""foreground"":""#E0E0FF"",""card"":""#11111B"",""card-foreground"":""#E0E0FF"",""popover"":""#11111B"",""popover-foreground"":""#E0E0FF"",""primary"":""#00FFFF"",""primary-foreground"":""#000000"",""secondary"":""#7B61FF"",""secondary-foreground"":""#FFFFFF"",""muted"":""#1E1E27"",""muted-foreground"":""#A1A1AA"",""accent"":""#FF00FF"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#333344"",""input"":""#2A2A33"",""ring"":""#00FFFF""}"
92,Biohacking / Longevity,"bio, health, science",#FF4D4D,#4D94FF,#00E676,#F5F5F7,#1C1C1E,#E5E5EA,Biological red/blue + Clinical white,"{ primary: '#FF4D4D', secondary: '#4D94FF', cta: '#00E676', background: '#F5F5F7', foreground: '#1C1C1E' }","box-shadow: 0 0 20px rgba(0,230,118,0.4); text-shadow: 0 0 10px rgba(0,230,118,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#FF4D4D', secondary: '#4D94FF', cta: '#00E676', border: '#27272A' }","{""background"":""#F5F5F7"",""foreground"":""#1C1C1E"",""primary"":""#FF4D4D"",""primary-foreground"":""#000000"",""secondary"":""#4D94FF"",""secondary-foreground"":""#000000"",""muted"":""#66666d"",""accent"":""#00E676"",""destructive"":""#EF4444""}","[""#ffb3b3"",""#ff8080"",""#FF4D4D"",""#ff1a1a"",""#e60000"",""#4d94ff"",""#1a75ff""]","{""background"":""#F5F5F7"",""foreground"":""#1C1C1E"",""card"":""#FFFFFF"",""card-foreground"":""#1C1C1E"",""popover"":""#FFFFFF"",""popover-foreground"":""#1C1C1E"",""primary"":""#FF4D4D"",""primary-foreground"":""#000000"",""secondary"":""#4D94FF"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#00E676"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5EA"",""input"":""#E5E5EA"",""ring"":""#FF4D4D""}"
93,Autonomous Systems,"drone, robot, fleet",#00FF41,#008F11,#FF3333,#0D1117,#E6EDF3,#30363D,Terminal Green + Tactical Dark,"{ primary: '#00FF41', secondary: '#008F11', cta: '#FF3333', background: '#0D1117', foreground: '#E6EDF3' }","box-shadow: 0 0 20px rgba(255,51,51,0.4); text-shadow: 0 0 10px rgba(255,51,51,0.6);","{ background: '#0D1117', text: '#E6EDF3', primary: '#00FF41', secondary: '#008F11', cta: '#FF3333', border: '#30363D' }","{""background"":""#0D1117"",""foreground"":""#E6EDF3"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#008F11"",""secondary-foreground"":""#FFFFFF"",""muted"":""#ffffff"",""accent"":""#FF3333"",""destructive"":""#EF4444""}","[""#66ff8d"",""#33ff67"",""#00FF41"",""#00cc34"",""#009927"",""#008f11"",""#005c0b""]","{""background"":""#0D1117"",""foreground"":""#E6EDF3"",""card"":""#191C22"",""card-foreground"":""#E6EDF3"",""popover"":""#191C22"",""popover-foreground"":""#E6EDF3"",""primary"":""#00FF41"",""primary-foreground"":""#000000"",""secondary"":""#008F11"",""secondary-foreground"":""#FFFFFF"",""muted"":""#25282E"",""muted-foreground"":""#A1A1AA"",""accent"":""#FF3333"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#30363D"",""input"":""#313439"",""ring"":""#00FF41""}"
94,Generative AI Art,"art, gen-ai, creative",#111111,#333333,#FFFFFF,#FAFAFA,#000000,#E5E5E5,Canvas Neutral + High Contrast,"{ primary: '#111111', secondary: '#333333', cta: '#FFFFFF', background: '#FAFAFA', foreground: '#000000' }","box-shadow: 0 0 20px rgba(255,255,255,0.4); text-shadow: 0 0 10px rgba(255,255,255,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#171717', secondary: '#424242', cta: '#FFFFFF', border: '#27272A' }","{""background"":""#FAFAFA"",""foreground"":""#000000"",""primary"":""#111111"",""primary-foreground"":""#FFFFFF"",""secondary"":""#333333"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4d4d4d"",""accent"":""#FFFFFF"",""destructive"":""#EF4444""}","[""#444444"",""#2a2a2a"",""#111111"",""#000000"",""#000000"",""#333333"",""#1a1a1a""]","{""background"":""#FAFAFA"",""foreground"":""#000000"",""card"":""#FFFFFF"",""card-foreground"":""#000000"",""popover"":""#FFFFFF"",""popover-foreground"":""#000000"",""primary"":""#111111"",""primary-foreground"":""#FFFFFF"",""secondary"":""#333333"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FFFFFF"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#111111""}"
95,Spatial / Vision OS,"spatial, glass, vision",#FFFFFF,#E5E5E5,#007AFF,#888888,#000000,#FFFFFF,Glass opacity 20% + System Blue,"{ primary: '#FFFFFF', secondary: '#E5E5E5', cta: '#007AFF', background: '#888888', foreground: '#000000' }","box-shadow: 0 0 20px rgba(0,122,255,0.4); text-shadow: 0 0 10px rgba(0,122,255,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#FFFFFF', secondary: '#E5E5E5', cta: '#007AFF', border: '#27272A' }","{""background"":""#888888"",""foreground"":""#000000"",""primary"":""#FFFFFF"",""primary-foreground"":""#000000"",""secondary"":""#E5E5E5"",""secondary-foreground"":""#000000"",""muted"":""#4d4d4d"",""accent"":""#007AFF"",""destructive"":""#EF4444""}","[""#ffffff"",""#ffffff"",""#FFFFFF"",""#e6e6e6"",""#cccccc"",""#e5e5e5"",""#cbcbcb""]","{""background"":""#888888"",""foreground"":""#000000"",""card"":""#FFFFFF"",""card-foreground"":""#000000"",""popover"":""#FFFFFF"",""popover-foreground"":""#000000"",""primary"":""#FFFFFF"",""primary-foreground"":""#000000"",""secondary"":""#E5E5E5"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#007AFF"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#FFFFFF"",""input"":""#FFFFFF"",""ring"":""#FFFFFF""}"
96,Climate Tech,"climate, green, energy",#2E8B57,#87CEEB,#FFD700,#F0FFF4,#1A3320,#C6E6C6,Nature Green + Solar Yellow + Air Blue,"{ primary: '#2E8B57', secondary: '#87CEEB', cta: '#FFD700', background: '#F0FFF4', foreground: '#1A3320' }","box-shadow: 0 0 20px rgba(255,215,0,0.4); text-shadow: 0 0 10px rgba(255,215,0,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#2E8B57', secondary: '#87CEEB', cta: '#FFD700', border: '#27272A' }","{""background"":""#F0FFF4"",""foreground"":""#1A3320"",""primary"":""#2E8B57"",""primary-foreground"":""#FFFFFF"",""secondary"":""#87CEEB"",""secondary-foreground"":""#000000"",""muted"":""#4e9860"",""accent"":""#FFD700"",""destructive"":""#EF4444""}","[""#57c889"",""#3bb16f"",""#2E8B57"",""#21653f"",""#153e27"",""#87ceeb"",""#5bbce4""]","{""background"":""#F0FFF4"",""foreground"":""#1A3320"",""card"":""#FFFFFF"",""card-foreground"":""#1A3320"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A3320"",""primary"":""#2E8B57"",""primary-foreground"":""#FFFFFF"",""secondary"":""#87CEEB"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#FFD700"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#C6E6C6"",""input"":""#C6E6C6"",""ring"":""#2E8B57""}"
97,AI/ML Product,"ai, ml, machine-learning, neural, artificial-intelligence",#6366F1,#8B5CF6,#10B981,#F8FAFC,#1E1B4B,#E0E7FF,Electric Indigo + Neural Purple + Success Green,"{ primary: '#6366F1', secondary: '#8B5CF6', cta: '#10B981', background: '#F8FAFC', foreground: '#1E1B4B' }","box-shadow: 0 0 20px rgba(16,185,129,0.4); text-shadow: 0 0 10px rgba(16,185,129,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#6366F1', secondary: '#8B5CF6', cta: '#10B981', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#1E1B4B"",""primary"":""#6366F1"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B5CF6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4b44bb"",""accent"":""#10B981"",""destructive"":""#EF4444""}","[""#c1c2f9"",""#9294f5"",""#6366F1"",""#3438ed"",""#1418da"",""#8b5cf6"",""#692cf3""]","{""background"":""#F8FAFC"",""foreground"":""#1E1B4B"",""card"":""#FFFFFF"",""card-foreground"":""#1E1B4B"",""popover"":""#FFFFFF"",""popover-foreground"":""#1E1B4B"",""primary"":""#6366F1"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B5CF6"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#10B981"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E0E7FF"",""input"":""#E0E7FF"",""ring"":""#6366F1""}"
98,Fintech Trust,"fintech, banking, finance, trust, security",#0A2540,#1E3A5F,#00D632,#F8FAFC,#0A2540,#CBD5E1,Deep Navy + Trust Blue + Money Green + Gold accent,"{ primary: '#0A2540', secondary: '#1E3A5F', cta: '#00D632', background: '#F8FAFC', foreground: '#0A2540' }","box-shadow: 0 0 20px rgba(0,214,50,0.4); text-shadow: 0 0 10px rgba(0,214,50,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0E3359', secondary: '#274B7B', cta: '#00D632', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#0A2540"",""primary"":""#0A2540"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E3A5F"",""secondary-foreground"":""#FFFFFF"",""muted"":""#1f71c4"",""accent"":""#00D632"",""destructive"":""#EF4444""}","[""#185898"",""#113e6c"",""#0A2540"",""#030b14"",""#000000"",""#1e3a5f"",""#122238""]","{""background"":""#F8FAFC"",""foreground"":""#0A2540"",""card"":""#FFFFFF"",""card-foreground"":""#0A2540"",""popover"":""#FFFFFF"",""popover-foreground"":""#0A2540"",""primary"":""#0A2540"",""primary-foreground"":""#FFFFFF"",""secondary"":""#1E3A5F"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#00D632"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#CBD5E1"",""input"":""#CBD5E1"",""ring"":""#0A2540""}"
99,HealthTech Calm,"health, medical, telehealth, wellness, care",#0891B2,#67E8F9,#10B981,#ECFEFF,#164E63,#A5F3FC,Calm Teal + Soft Cyan + Health Green + Trust,"{ primary: '#0891B2', secondary: '#67E8F9', cta: '#10B981', background: '#ECFEFF', foreground: '#164E63' }","box-shadow: 0 0 20px rgba(16,185,129,0.4); text-shadow: 0 0 10px rgba(16,185,129,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#0891B2', secondary: '#67E8F9', cta: '#10B981', border: '#27272A' }","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#67E8F9"",""secondary-foreground"":""#000000"",""muted"":""#3eabd4"",""accent"":""#10B981"",""destructive"":""#EF4444""}","[""#2bcef5"",""#0ab9e3"",""#0891B2"",""#066981"",""#044150"",""#67e8f9"",""#36e1f7""]","{""background"":""#ECFEFF"",""foreground"":""#164E63"",""card"":""#FFFFFF"",""card-foreground"":""#164E63"",""popover"":""#FFFFFF"",""popover-foreground"":""#164E63"",""primary"":""#0891B2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#67E8F9"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#10B981"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#A5F3FC"",""input"":""#A5F3FC"",""ring"":""#0891B2""}"
100,Climate Tech Green,"climate, sustainability, eco, green, carbon",#16A34A,#4ADE80,#84CC16,#F0FDF4,#14532D,#BBF7D0,Forest Green + Lime + Earth Brown accents,"{ primary: '#16A34A', secondary: '#4ADE80', cta: '#84CC16', background: '#F0FDF4', foreground: '#14532D' }","box-shadow: 0 0 20px rgba(132,204,22,0.4); text-shadow: 0 0 10px rgba(132,204,22,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#16A34A', secondary: '#4ADE80', cta: '#84CC16', border: '#27272A' }","{""background"":""#F0FDF4"",""foreground"":""#14532D"",""primary"":""#16A34A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4ADE80"",""secondary-foreground"":""#000000"",""muted"":""#32ce70"",""accent"":""#84CC16"",""destructive"":""#EF4444""}","[""#3be479"",""#1cd05e"",""#16A34A"",""#107636"",""#0a4921"",""#4ade80"",""#26cf64""]","{""background"":""#F0FDF4"",""foreground"":""#14532D"",""card"":""#FFFFFF"",""card-foreground"":""#14532D"",""popover"":""#FFFFFF"",""popover-foreground"":""#14532D"",""primary"":""#16A34A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#4ADE80"",""secondary-foreground"":""#000000"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#84CC16"",""accent-foreground"":""#000000"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#BBF7D0"",""input"":""#BBF7D0"",""ring"":""#16A34A""}"
